Year,Chrome,IE,Firefox,Safari,Opera,Android,Other
2009,3.23,59.1,30.17,3.41,2.86,0.02,1.21
2010,9.95,49.92,30.35,4.93,2.6,0.27,1.98
2011,19.79,40.31,26.49,6.36,3.09,1.16,2.8
2012,29.3,29.66,21.27,9.04,3.67,2.89,4.17
2013,34.67,23.15,16.55,10.94,3.68,5.38,5.63
2014,38.94,15.46,13.17,13.77,4,7.23,7.43
2015,44.87,11.24,10.46,13.06,5,6.31,9.06
2016,49.08,6.25,7.98,13.31,5.47,3.96,13.95
2017,53.96,3.95,6.19,14.51,3.84,2.39,15.16
2018,59.11,3,5.21,14.43,3.52,1.49,13.24
2019,63.3,2.24,4.57,15.86,2.57,0.86,10.6
2020,64.62,1.35,4.22,17.84,1.99,0.51,9.47
2021,64.5,0.62,3.62,18.9,2.24,0.62,9.5
2022,64.78,0.37,3.38,18.95,2.23,0.72,9.57
2023,64.31,0.24,2.87,19.8,2.44,0.71,9.63
